id,queueid,keyvalue,status,attempt,loaded,completed,exception,deferred,worktime,queueident,ident,sessionid,priority,prevworktime,attemptworktime,finished,exceptionreasonvarchar,exceptionreasontag,encryptid,lastupdated
A0AB9552-28E4-47D3-921A-FF0C22E6556A,088FE57F-FE28-4014-B5C6-ABDBE3A51383,WC116-A46374,In progress,1,1/12/2018 13:40,(null),1/12/2018 13:49,(null),529,1,17697,00B0D663-9C48-4B5F-AF19-3663326241EF,0,0,529,1/12/2018 13:49,Automatically set exception at CleanUp,Exception: Automatically set exception at CleanUp,(null),1/12/2018 13:49
,,,,,,,,,,,,,,,,,,,,
id,A0AB9552-28E4-47D3-921A-FF0C22E6556A,,,,,,,,,,,,,,,,,,,
queueid,088FE57F-FE28-4014-B5C6-ABDBE3A51383,,,,,,,,,,,,,,,,,,,
keyvalue,WC116-A46374,,,,,,,,,,,,,,,,,,,
status,In progress,,,,,,,,,,,,,,,,,,,
attempt,1,,,,,,,,,,,,,,,,,,,
loaded,1/12/2018 13:40,,,,,,,,,,,,,,,,,,,
completed,(null),,,,,,,,,,,,,,,,,,,
exception,1/12/2018 13:49,,,,,,,,,,,,,,,,,,,
deferred,(null),,,,,,,,,,,,,,,,,,,
worktime,529,,,,,,,,,,,,,,,,,,,
queueident,1,,,,,,,,,,,,,,,,,,,
ident,17697,,,,,,,,,,,,,,,,,,,
sessionid,00B0D663-9C48-4B5F-AF19-3663326241EF,,,,,,,,,,,,,,,,,,,
priority,0,,,,,,,,,,,,,,,,,,,
prevworktime,0,,,,,,,,,,,,,,,,,,,
attemptworktime,529,,,,,,,,,,,,,,,,,,,
finished,1/12/2018 13:49,,,,,,,,,,,,,,,,,,,
exceptionreasonvarchar,Automatically set exception at CleanUp,,,,,,,,,,,,,,,,,,,
exceptionreasontag,Exception: Automatically set exception at CleanUp,,,,,,,,,,,,,,,,,,,
encryptid,(null),,,,,,,,,,,,,,,,,,,
lastupdated,1/12/2018 13:49,,,,,,,,,,,,,,,,,,,
